Actual_MW,Predicted_MW,Forecast_Error_MW,Anomaly
21576.0,21371.695,204.30469,0
21441.0,21310.203,130.79688,0
21238.0,21562.965,324.96484,0
22653.0,22261.477,391.52344,0
24909.0,24970.205,61.20508,0
26850.0,26963.113,113.11328,0
28526.0,28439.412,86.58789,0
29541.0,29707.635,166.63477,0
30320.0,30156.473,163.52734,0
30860.0,30650.12,209.88086,0
31200.0,31109.402,90.59766,0
31471.0,31466.623,4.376953,0
31905.0,31716.51,188.49023,0
32369.0,31981.348,387.65234,0
32065.0,31975.941,89.05859,0
31447.0,31190.707,256.29297,0
31360.0,31258.91,101.08984,0
32162.0,31731.334,430.66602,0
30489.0,30387.906,101.09375,0
27594.0,28037.797,443.79688,0
25348.0,25187.049,160.95117,0
23814.0,23998.496,184.4961,0
23021.0,22984.137,36.86328,0
22588.0,22559.83,28.169922,0
22859.0,22661.178,197.82227,0
24158.0,24018.123,139.87695,0
26625.0,26485.625,139.375,0
30197.0,29802.623,394.37695,0
32921.0,32795.863,125.13672,0
35058.0,34750.668,307.33203,0
36839.0,36823.258,15.7421875,0
38110.0,38127.4,17.398438,0
38926.0,39081.293,155.29297,0
39782.0,39758.65,23.351562,0
40551.0,40447.18,103.82031,0
40953.0,41029.668,76.66797,0
41254.0,41089.22,164.78125,0
41376.0,40957.1,418.89844,0
40435.0,40507.016,72.015625,0
38953.0,39225.395,272.39453,0
37910.0,38454.297,544.2969,0
37865.0,37879.797,14.796875,0
35100.0,35438.35,338.35156,0
31167.0,31649.98,482.98047,0
28222.0,27968.486,253.51367,0
26381.0,26382.812,1.8125,0
25318.0,25251.668,66.33203,0
24569.0,24554.383,14.6171875,0
24691.0,24382.805,308.1953,0
25746.0,25823.68,77.67969,0
28289.0,27980.096,308.9043,0
31915.0,31539.232,375.76758,0
34900.0,34478.293,421.70703,0
37267.0,36935.992,331.0078,0
39653.0,39274.527,378.47266,0
41174.0,41280.613,106.61328,0
42324.0,42418.75,94.75,0
43265.0,43349.188,84.1875,0
43833.0,43954.664,121.66406,0
44612.0,44163.67,448.32812,0
45134.0,44820.062,313.9375,0
45193.0,44916.47,276.53125,0
44373.0,44338.117,34.882812,0
42755.0,42979.766,224.76562,0
41478.0,41943.96,465.96094,0
41367.0,41364.727,2.2734375,0
38273.0,39045.703,772.7031,0
34168.0,34459.64,291.64062,0
30934.0,30706.545,227.45508,0
28791.0,28847.914,56.914062,0
27561.0,27447.809,113.19141,0
26728.0,26629.566,98.43359,0
26532.0,26435.004,96.99609,0
27721.0,27492.312,228.6875,0
30259.0,30167.36,91.640625,0
34195.0,33548.9,646.10156,0
37538.0,36909.867,628.1328,0
40115.0,39846.85,268.14844,0
42695.0,42261.496,433.5039,0
44435.0,44353.875,81.125,0
45459.0,45618.758,159.75781,0
46686.0,46252.85,433.14844,0
47561.0,47293.484,267.51562,0
48339.0,47840.086,498.91406,0
48881.0,48462.434,418.5664,0
48758.0,48708.605,49.39453,0
47667.0,47832.977,165.97656,0
46005.0,45988.832,16.167969,0
44925.0,44957.89,32.890625,0
44417.0,44788.316,371.3164,0
41024.0,42101.25,1077.25,1
36924.0,36952.344,28.34375,0
33575.0,33341.41,233.58984,0
31535.0,31254.408,280.5918,0
30067.0,30088.977,21.976562,0
29150.0,28998.363,151.63672,0
28991.0,28763.137,227.86328,0
29989.0,29999.93,10.9296875,0
32549.0,32411.656,137.34375,0
36261.0,35917.047,343.95312,0
39589.0,38814.875,774.125,0
42162.0,41800.11,361.89062,0
44664.0,44234.33,429.67188,0
46402.0,46122.75,279.25,0
47730.0,47345.547,384.45312,0
48833.0,48364.805,468.1953,0
49539.0,49173.125,365.875,0
49843.0,49624.695,218.30469,0
50157.0,49720.945,436.0547,0
49840.0,49831.86,8.140625,0
48773.0,48827.383,54.382812,0
47082.0,47145.03,63.03125,0
45858.0,45962.348,104.34766,0
45261.0,45588.04,327.03906,0
41822.0,42972.832,1150.832,1
37482.0,37741.484,259.48438,0
34165.0,33835.223,329.77734,0
32066.0,31797.191,268.8086,0
30633.0,30593.898,39.101562,0
29479.0,29588.611,109.61133,0
29384.0,28989.836,394.16406,0
30387.0,30457.695,70.69531,0
32628.0,32876.105,248.10547,0
36203.0,35722.72,480.28125,0
39302.0,38639.117,662.8828,0
41868.0,41369.72,498.28125,0
44081.0,43847.652,233.34766,0
45783.0,45437.67,345.32812,0
46887.0,46683.89,203.10938,0
47922.0,47463.484,458.51562,0
48397.0,48260.594,136.40625,0
48415.0,48408.04,6.9609375,0
48199.0,48135.125,63.875,0
47449.0,47580.594,131.59375,0
45932.0,46185.688,253.6875,0
44229.0,44173.22,55.78125,0
43073.0,43227.61,154.60938,0
42579.0,42761.383,182.38281,0
40001.0,40029.066,28.066406,0
36869.0,36421.72,447.28125,0
34004.0,33659.54,344.46094,0
31711.0,31598.559,112.44141,0
30321.0,29977.05,343.94922,0
29299.0,29211.031,87.96875,0
28779.0,28628.09,150.91016,0
28647.0,28582.988,64.01172,0
29123.0,29199.828,76.828125,0
31786.0,31080.059,705.9414,0
35923.0,35112.55,810.4492,0
39541.0,39045.97,495.03125,0
42404.0,41972.23,431.76953,0
44584.0,43978.688,605.3125,0
45563.0,45410.09,152.91016,0
45903.0,45753.586,149.41406,0
46032.0,45773.977,258.02344,0
45934.0,45784.97,149.03125,0
45698.0,45523.016,174.98438,0
44899.0,45003.625,104.625,0
43592.0,43576.383,15.6171875,0
42234.0,42049.65,184.35156,0
41494.0,41567.58,73.578125,0
41069.0,41194.4,125.39844,0
38596.0,38738.43,142.42969,0
35760.0,35473.418,286.58203,0
32664.0,32767.213,103.21289,0
30571.0,30357.684,213.3164,0
29179.0,28948.62,230.38086,0
28221.0,28067.348,153.65234,0
27587.0,27467.88,119.11914,0
27080.0,27158.512,78.51172,0
27173.0,27079.365,93.634766,0
29054.0,28484.877,569.12305,0
32184.0,32193.824,9.824219,0
35351.0,35286.12,64.87891,0
37778.0,37923.992,145.99219,0
39361.0,39509.27,148.26953,0
40609.0,40162.92,446.07812,0
41391.0,41083.195,307.8047,0
41616.0,41691.92,75.921875,0
41494.0,41611.13,117.12891,0
40428.0,41148.312,720.3125,0
39076.0,39219.586,143.58594,0
36527.0,37244.16,717.16016,0
34534.0,34327.246,206.7539,0
33911.0,33988.91,77.91016,0
33781.0,34044.973,263.97266,0
31910.0,31588.303,321.69727,0
29180.0,29325.951,145.95117,0
26775.0,26636.25,138.75,0
25183.0,25187.197,4.1972656,0
23479.0,24209.133,730.1328,0
22654.0,22686.045,32.04492,0
22915.0,22551.205,363.79492,0
23432.0,23986.361,554.3613,0
25059.0,24864.83,194.16992,0
27787.0,27825.652,38.652344,0
29572.0,30826.713,1254.7129,1
30698.0,31105.355,407.35547,0
31582.0,31829.383,247.38281,0
32055.0,32229.74,174.74023,0
32152.0,32313.445,161.44531,0
32348.0,32283.941,64.05859,0
32620.0,32391.67,228.33008,0
32690.0,32660.875,29.125,0
32934.0,32702.553,231.44727,0
32881.0,32914.055,33.054688,0
32145.0,32078.15,66.84961,0
31040.0,31277.02,237.01953,0
30469.0,31319.969,850.96875,0
30817.0,30665.56,151.43945,0
28316.0,28485.062,169.0625,0
25448.0,25374.959,73.041016,0
23122.0,23090.326,31.673828,0
21859.0,21775.156,83.84375,0
21123.0,21121.566,1.4335938,0
20820.0,20742.668,77.33203,0
21173.0,20937.547,235.45312,0
22197.0,22600.402,403.40234,0
24356.0,24427.438,71.4375,0
27237.0,27153.82,83.17969,0
29482.0,29519.445,37.445312,0
31031.0,30969.254,61.746094,0
32065.0,32346.895,281.89453,0
32882.0,32830.87,51.128906,0
33246.0,33385.242,139.24219,0
33737.0,33629.35,107.64844,0
33895.0,34073.727,178.72656,0
33850.0,33990.676,140.67578,0
33753.0,33819.777,66.77734,0
33492.0,33421.613,70.38672,0
32455.0,32592.865,137.86523,0
31343.0,31529.895,186.89453,0
30995.0,31804.184,809.1836,0
31541.0,30870.02,670.98047,0
29627.0,29182.203,444.79688,0
27072.0,26787.22,284.7793,0
25058.0,24626.822,431.17773,0
23603.0,23636.527,33.527344,0
22753.0,22778.4,25.40039,0
22242.0,22305.31,63.310547,0
22046.0,22258.11,212.10938,0
22331.0,23070.572,739.57227,0
22560.0,23966.975,1406.9746,1
23365.0,24324.363,959.3633,0
25507.0,25427.129,79.87109,0
27960.0,27520.16,439.83984,0
29817.0,29600.008,216.99219,0
31218.0,30977.725,240.27539,0
32018.0,32067.053,49.052734,0
32624.0,32552.586,71.41406,0
33284.0,32952.09,331.91016,0
33779.0,33566.51,212.48828,0
34316.0,34015.438,300.5625,0
34110.0,34390.992,280.9922,0
33157.0,33071.63,85.37109,0
32282.0,32009.906,272.09375,0
32303.0,32394.62,91.61914,0
32240.0,32208.428,31.572266,0
31055.0,29671.2,1383.8008,1
28791.0,28357.0,434.0,0
26575.0,26382.766,192.23438,0
24934.0,25063.36,129.35938,0
23986.0,24008.543,22.542969,0
23404.0,23463.969,59.96875,0
23460.0,23362.451,97.54883,0
24460.0,24589.03,129.0293,0
26600.0,26539.098,60.902344,0
30277.0,29357.766,919.2344,0
33418.0,33125.17,292.82812,0
35697.0,35414.656,282.34375,0
37804.0,37590.305,213.69531,0
39017.0,39330.23,313.23047,0
39933.0,39988.188,55.1875,0
40460.0,40774.867,314.8672,0
40541.0,40956.953,415.95312,0
40285.0,40616.78,331.78125,0
39917.0,39928.742,11.7421875,0
39086.0,39057.414,28.585938,0
37690.0,37572.71,117.28906,0
36136.0,36248.37,112.37109,0
35026.0,35554.594,528.59375,0
34262.0,34826.87,564.8711,0
31613.0,31615.906,2.90625,0
28589.0,28490.871,98.12891,0
25967.0,25807.627,159.37305,0
24476.0,24259.285,216.71484,0
23522.0,23412.105,109.89453,0
22834.0,22804.572,29.427734,0
22753.0,22616.936,136.06445,0
23432.0,23772.17,340.16992,0
25220.0,25193.988,26.011719,0
28207.0,27927.172,279.82812,0
30569.0,30947.854,378.85352,0
32080.0,32274.617,194.61719,0
33016.0,33423.902,407.90234,0
33523.0,33714.06,191.0586,0
33658.0,33800.88,142.8789,0
33980.0,33847.18,132.82031,0
34023.0,34167.453,144.45312,0
34038.0,34000.934,37.066406,0
34073.0,33922.117,150.88281,0
33775.0,33634.38,140.6211,0
32926.0,32710.42,215.58008,0
31521.0,31847.98,326.98047,0
30596.0,31247.355,651.35547,0
30726.0,30547.693,178.30664,0
28692.0,28532.822,159.17773,0
26202.0,25924.725,277.2754,0
23644.0,23641.195,2.8046875,0
22307.0,21972.516,334.48438,0
21275.0,21199.504,75.49609,0
20767.0,20597.008,169.99219,0
20601.0,20497.254,103.74609,0
20907.0,20660.945,246.05469,0
21442.0,21436.492,5.5078125,0
23045.0,22999.143,45.85742,0
25671.0,25603.76,67.240234,0
27937.0,27703.172,233.82812,0
29723.0,29410.062,312.9375,0
30499.0,30767.896,268.89648,0
30986.0,30893.637,92.36328,0
31093.0,31056.475,36.52539,0
31439.0,31002.55,436.44922,0
31720.0,31598.441,121.55859,0
32233.0,31918.92,314.08008,0
32616.0,32337.05,278.94922,0
32182.0,32032.17,149.83008,0
31289.0,31137.34,151.66016,0
31008.0,31276.44,268.43945,0
31293.0,31108.854,184.14648,0
29721.0,29319.844,401.15625,0
27754.0,27305.422,448.57812,0
25581.0,25451.357,129.64258,0
24020.0,23872.6,147.40039,0
23115.0,22790.176,324.82422,0
22546.0,22274.521,271.47852,0
22272.0,22015.28,256.7207,0
22338.0,22007.037,330.9629,0
22473.0,22477.273,4.2734375,0
23249.0,23524.992,275.9922,0
24842.0,25381.012,539.0117,0
26559.0,26551.062,7.9375,0
28220.0,27943.877,276.12305,0
29384.0,29391.684,7.6835938,0
30112.0,30063.416,48.583984,0
30686.0,30406.605,279.39453,0
31053.0,30916.816,136.1836,0
31473.0,31318.564,154.43555,0
32073.0,31821.867,251.13281,0
32686.0,32265.195,420.8047,0
32932.0,32359.94,572.06055,0
32728.0,32311.965,416.03516,0
33141.0,32750.352,390.64844,0
33757.0,33191.457,565.54297,0
32327.0,31943.062,383.9375,0
29768.0,29949.492,181.49219,0
27692.0,27470.506,221.49414,0
26096.0,26281.127,185.12695,0
25355.0,25216.89,138.10938,0
24791.0,24919.479,128.47852,0
24910.0,24840.777,69.22266,0
26253.0,25984.27,268.73047,0
28646.0,28474.914,171.08594,0
32163.0,31793.006,369.99414,0
35325.0,35214.363,110.63672,0
37903.0,37603.273,299.72656,0
39781.0,40150.25,369.25,0
41195.0,41344.2,149.19922,0
42467.0,42331.08,135.92188,0
43617.0,43532.453,84.546875,0
44460.0,44418.652,41.347656,0
45157.0,44954.594,202.40625,0
45789.0,45383.543,405.45703,0
46006.0,45697.207,308.79297,0
45320.0,45237.02,82.98047,0
43698.0,43895.312,197.3125,0
42305.0,43002.938,697.9375,0
41884.0,42120.98,236.98047,0
38539.0,39323.383,784.3828,0
34702.0,34757.277,55.277344,0
31625.0,31276.97,348.0293,0
29443.0,29540.168,97.16797,0
28084.0,28066.508,17.492188,0
27227.0,27138.363,88.63672,0
26992.0,26956.29,35.710938,0
28151.0,27838.172,312.82812,0
30368.0,30307.135,60.865234,0
34210.0,33405.75,804.25,0
37241.0,37469.9,228.89844,0
40007.0,39514.305,492.6953,0
42623.0,42336.484,286.51562,0
44625.0,44487.996,137.0039,0
45556.0,45944.055,388.0547,0
46690.0,46404.453,285.54688,0
47157.0,47329.617,172.61719,0
46773.0,47374.938,601.9375,0
46449.0,46507.227,58.226562,0
45174.0,45788.56,614.5586,0
43266.0,43546.258,280.2578,0
41340.0,41465.836,125.83594,0
40372.0,40644.04,272.03906,0
39654.0,40097.293,443.29297,0
36319.0,36822.344,503.34375,0
33207.0,32680.293,526.70703,0
30057.0,30106.605,49.60547,0
28214.0,28090.436,123.56445,0
27018.0,26955.787,62.21289,0
26399.0,26157.408,241.5918,0
26461.0,26247.34,213.66016,0
27703.0,27571.291,131.70898,0
30045.0,29913.197,131.80273,0
33062.0,33014.34,47.660156,0
35382.0,35603.727,221.72656,0
37343.0,37208.93,134.07031,0
38960.0,39146.465,186.46484,0
40176.0,40206.508,30.507812,0
40918.0,41142.93,224.92969,0
41444.0,41691.0,247.0,0
41745.0,41898.75,153.75,0
41735.0,41912.6,177.60156,0
41775.0,41508.16,266.83984,0
41253.0,41185.17,67.828125,0
39836.0,39948.86,112.859375,0
37706.0,38323.082,617.08203,0
36438.0,36953.61,515.6094,0
36258.0,36322.14,64.140625,0
33361.0,33636.535,275.53516,0
29965.0,30046.348,81.34766,0
27074.0,27012.225,61.77539,0
25425.0,25291.686,133.31445,0
24315.0,24301.781,13.21875,0
23677.0,23521.842,155.1582,0
23771.0,23494.883,276.1172,0
24894.0,24878.89,15.109375,0
26714.0,26953.824,239.82422,0
30221.0,29319.145,901.85547,0
32684.0,33176.797,492.79688,0
34134.0,34484.777,350.77734,0
35652.0,35526.13,125.87109,0
36463.0,36675.793,212.79297,0
36879.0,37091.71,212.71094,0
37272.0,37388.207,116.20703,0
37431.0,37606.81,175.8086,0
37551.0,37512.812,38.1875,0
37628.0,37471.92,156.07812,0
37322.0,37144.97,177.03125,0
36282.0,36174.13,107.87109,0
34905.0,34992.67,87.671875,0
34448.0,34454.54,6.5390625,0
34358.0,34435.062,77.0625,0
31838.0,31812.988,25.011719,0
28718.0,28803.582,85.58203,0
26266.0,25980.582,285.41797,0
24383.0,24642.81,259.81055,0
23372.0,23296.875,75.125,0
22903.0,22688.232,214.76758,0
23096.0,22801.047,294.95312,0
24150.0,24276.654,126.6543,0
25871.0,26210.781,339.78125,0
29370.0,28415.451,954.5488,0
31770.0,32281.035,511.03516,0
33555.0,33469.883,85.11719,0
34988.0,35023.926,35.92578,0
35800.0,36035.223,235.22266,0
36202.0,36379.254,177.2539,0
36456.0,36654.047,198.04688,0
36494.0,36694.93,200.92969,0
36311.0,36485.85,174.85156,0
36062.0,36025.74,36.26172,0
35521.0,35359.62,161.3789,0
34484.0,34252.824,231.17578,0
33143.0,33293.184,150.1836,0
32504.0,32732.996,228.9961,0
32476.0,32424.555,51.445312,0
30281.0,30134.086,146.91406,0
27544.0,27439.523,104.47656,0
25229.0,24859.87,369.13086,0
23572.0,23468.967,103.0332,0
22534.0,22372.36,161.64062,0
21988.0,21793.182,194.81836,0
21740.0,21665.555,74.44531,0
21911.0,21747.586,163.41406,0
22299.0,22372.309,73.30859,0
24095.0,23800.152,294.84766,0
26767.0,26850.07,83.07031,0
